method,dataset,stream,rmse,nll,msll,precision,recall,f1,tp,fp,fn,tn,avg_step_ms,route_main,route_critic,alarms
guardgp,franka,franka1_labeled.csv,0.11264128861372655,1.4268494876752207,0.7559919571343712,0.7122507122507122,0.5411255411255411,0.6150061500615006,250,101,212,1743,0.4359832979982649,1375,580,351
guardgp,franka,franka2_labeled.csv,0.1338227193329386,2.527352536575384,1.9211957615452826,0.6748329621380846,0.6558441558441559,0.6652030735455543,303,146,159,1698,0.426107136144344,1255,602,449
guardgp,franka,franka3_labeled.csv,0.08151869424633779,-0.42123042853090087,-0.9069972161482696,0.6824104234527687,0.9069264069264069,0.7788104089219332,419,195,43,1649,0.39929158751673494,1155,537,614
guardgp,franka,franka4_labeled.csv,0.09782726473079315,0.0191224927065672,-0.7824874263313973,0.6838124054462935,0.9783549783549783,0.8049866429207481,452,209,10,1635,0.3887925188027642,1185,460,661
guardgp,franka,franka5_labeled.csv,0.0962125058181685,0.4777528629064414,0.09997460901237926,0.9174757281553398,0.4090909090909091,0.565868263473054,189,17,273,1827,0.491295133031588,1499,601,206
guardgp,franka,franka6_labeled.csv,0.08154819835996233,-0.5841370427086172,-0.6331076323051368,0.8915094339622641,0.4090909090909091,0.5608308605341247,189,23,273,1821,0.5009161314819208,1499,595,212
guardgp,franka,franka7_labeled.csv,0.0050306764092824755,-2.250462703076956,0.5411787249823885,0.658703071672355,0.41774891774891776,0.5112582781456954,193,100,269,1744,0.4588153823054697,1323,690,293
