row_type,agent,tau_k,name,rmse,nll,msll,avg_step_ms,avg_pred_ms,avg_detect_ms,avg_upd_ms,route_main,route_critic,alarms,tp,fp,fn,tn,precision,recall,f1,time,t,y_obs,y_true_gt,mu,var,sigma,lab_curr,route,pred_alarm,gt_anomaly,w_evt,rolled_m,rolled_c
detail,1,1,,,,,,,,,,,,,,,,,,,1112.0,1112.0,-0.693605278,-0.47221379,-0.4674592297230802,0.0011917326623780422,0.034521481173003604,attack,alarm,1.0,0.0,0.77916849966406,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1113.0,1113.0,-0.793646428,-0.478642443,-0.4688142799556805,0.0012285405811885974,0.035050543236711716,attack,alarm,1.0,0.0,0.7338115996115651,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1114.0,1114.0,-0.621577139,-0.481501137,-0.47500064925164853,0.0011856508962357903,0.034433281810419845,uncertain,critic,0.0,0.0,0.8830883915191257,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1115.0,1115.0,-0.452321738,-0.480917549,-0.4811686026122408,0.0010586988707909084,0.03253765312358758,clean,main,0.0,0.0,0.5133264360614651,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1116.0,1116.0,-0.31516945,-0.477602587,-0.48284391750652206,0.0010359245070915568,0.032185781132226025,uncertain,critic,0.0,0.0,0.11430046836441132,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1117.0,1117.0,-0.389699983,-0.475844535,-0.483097874742676,0.0010272379091229578,0.03205055239965386,clean,main,0.0,0.0,0.549641357772916,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1118.0,1118.0,-0.630136265,-0.478930369,-0.48172461081841744,0.0010062078992189027,0.031720780242908635,uncertain,critic,0.0,0.0,0.3332051166776431,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1119.0,1119.0,-0.582507478,-0.481001912,-0.48422217417000635,0.0010362227154963044,0.03219041340983841,clean,main,0.0,0.0,0.48252784603551246,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1120.0,1120.0,-0.678434694,-0.484950567,-0.48674239660634777,0.0010088177767371143,0.0317618918948024,uncertain,critic,0.0,0.0,0.33688934611055843,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1121.0,1121.0,-0.553620325,-0.486323962,-0.49066293693044516,0.0010203974867948329,0.0319436611363637,clean,main,0.0,0.0,0.5711317892192079,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1122.0,1122.0,-0.611473736,-0.488826958,-0.49375717521034446,0.0009810795580400544,0.03132218954734893,uncertain,critic,0.0,0.0,0.20927498219083973,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1123.0,1123.0,-0.487011904,-0.488790657,-0.4984023405192941,0.0010300933283915459,0.03209506704139354,clean,main,0.0,0.0,0.37019345329714104,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1124.0,1124.0,-0.545572645,-0.489926297,-0.5016888743776271,0.00113750010764202,0.03372684550387154,clean,main,0.0,0.0,0.03792361435927749,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1125.0,1125.0,-0.487725954,-0.48988229,-0.5050988305048485,0.0013891303703887914,0.03727103929847934,clean,main,0.0,0.0,0.14574727514103203,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1126.0,1126.0,-0.521324659,-0.490511137,-0.5062836231721562,0.0016876088616994969,0.04108051681392892,clean,main,0.0,0.0,0.05852535577643092,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1127.0,1127.0,-0.482781359,-0.490356542,-0.5103158956300555,0.0017918803529317628,0.042330607755284626,clean,main,0.0,0.0,0.05096129147347361,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1128.0,1128.0,-0.397111503,-0.488491641,-0.5106304598776483,0.0017845604840346363,0.04224405856489923,clean,main,0.0,0.0,0.09361193126217571,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1129.0,1129.0,-0.371408385,-0.486149976,-0.5100066292881822,0.0019088522334878013,0.04369041351930422,uncertain,critic,0.0,0.0,0.3702725729326978,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1130.0,1130.0,-0.43471039,-0.485121184,-0.5091175194441226,0.002097254284566308,0.045795788939227894,clean,main,0.0,0.0,0.4306276333713204,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1131.0,1131.0,-0.437285014,-0.484164461,-0.5080935615611821,0.002090134733312654,0.04571799135255894,clean,main,0.0,0.0,0.24279396775872797,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1132.0,1132.0,-0.705009559,-0.488581362,-0.5020446082425236,0.0014361109341964884,0.03789605433546464,uncertain,critic,0.0,0.0,0.23321841316938763,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1133.0,1133.0,-0.747933188,-0.493768399,-0.4878616266137419,0.0011004513699017782,0.033173051862947105,attack,alarm,1.0,0.0,0.5784061518680291,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1134.0,1134.0,-0.964249316,-0.503178017,-0.4820061888526843,0.0014479447143319613,0.038051868736396655,attack,alarm,1.0,1.0,0.6978360031420867,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1135.0,1135.0,-0.92641141,-0.511642685,-0.4829001031084241,0.0016235723612644248,0.040293577171361006,attack,alarm,1.0,1.0,0.941940748140812,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1136.0,1136.0,-0.547169041,-0.512353212,-0.48929414431393736,0.0016086702221751459,0.04010823135187023,clean,main,0.0,0.0,0.9182413065569178,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1137.0,1137.0,-0.40154329,-0.510137014,-0.4973768032366542,0.0015654798024142824,0.03956614464936257,clean,main,0.0,0.0,0.18361507474244443,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1138.0,1138.0,-0.402919976,-0.507992673,-0.4928267067992289,0.0015038162178583336,0.038779069326871855,clean,main,0.0,0.0,0.3007618475673206,0.0,0.0
