series,family,split,method,config,seed,warmup,n,sliding_window,n_anom_eval,elapsed_s,AUC_PR,AUC_ROC,PointF1_opt,VUS_PR,VUS_ROC,precision,recall,F1,tp,fp,fn
788_YAHOO_id_238_WebService_tr_500_1st_973.csv,YAHOO,eva,spot,q0.01_d200,0,500,1680,24,1,0.0,0.0142857142857142,0.9414758269720102,0.028168736364571,0.0138888888888888,0.94147582697201,0.0,0.0,0.0,0.0,1.0,1.0
797_YAHOO_id_247_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.01_d200,0,500,1421,158,1,0.0,0.0011223344556677,0.0326086956521739,0.0022421300702029,0.087105802395862,0.9215554660996562,0.0,0.0,0.0,0.0,21.0,1.0
806_YAHOO_id_256_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.01_d200,0,500,1421,118,1,0.0,0.0013774104683195,0.2119565217391305,0.0027510041646626,0.0248445355395338,0.8168371297948457,0.0,0.0,0.0,0.0,26.0,1.0
004_NAB_id_4_Facility_tr_1007_1st_1437.csv,NAB,tuning,guardgp,default,0,500,4031,50,402,4.2,0.1896490025064143,0.7012460866011903,0.3291439410276354,0.1919392050002035,0.7125971874233459,1.0,0.0149253731343283,0.0294117647058823,6.0,0.0,396.0
807_YAHOO_id_257_WebService_tr_500_1st_1210.csv,YAHOO,eva,spot,q0.01_d200,0,500,1424,24,17,0.1,0.3917805739052448,0.9687398663985992,0.3846108580414399,0.7280591670144949,0.9905342277314768,0.0375275938189845,1.0,0.0723404255319148,17.0,436.0,0.0
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,eva,spot,q0.001_d50,0,500,4031,6,343,0.4,0.1528948946508871,0.5239290195375516,0.1837267626689719,0.147833874182116,0.5284343106239261,0.2533333333333333,0.0553935860058309,0.0909090909090909,19.0,56.0,324.0
002_NAB_id_2_WebService_tr_1500_1st_4106.csv,NAB,eva,spot,q0.001_d50,0,500,6000,5,637,0.1,0.2050284789669208,0.5474222907024529,0.2132051548912419,0.1980663568802531,0.5483950174103521,0.8636363636363636,0.0298273155416012,0.0576631259484066,19.0,3.0,618.0
003_NAB_id_3_WebService_tr_1362_1st_1462.csv,NAB,tuning,spot,q0.001_d50,0,500,15852,21,1523,0.2,0.1100529127581336,0.3857470339220248,0.2058035760999903,0.0914199658557484,0.3557463784498527,0.1022958646352594,0.9566644780039396,0.1848281111252061,1457.0,12786.0,66.0
004_NAB_id_4_Facility_tr_1007_1st_1437.csv,NAB,tuning,spot,q0.001_d50,0,500,4031,50,402,0.1,0.2569450633020496,0.7173369331037367,0.3381410443724486,0.2638783195669642,0.7335029169443558,1.0,0.0149253731343283,0.0294117647058823,6.0,0.0,396.0
005_NAB_id_5_Traffic_tr_594_1st_1645.csv,NAB,eva,spot,q0.001_d50,0,500,2379,22,238,0.1,0.1558460012559117,0.5164418601078457,0.2312833375849769,0.1540254121779476,0.5265519736642227,0.6666666666666666,0.0084033613445378,0.0165975103734439,2.0,1.0,236.0
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,NAB,eva,spot,q0.001_d50,0,500,10319,125,1030,0.4,0.1067871721905922,0.5130231191460641,0.1994732803762266,0.1287390233676718,0.5903398239853146,0.1079691516709511,0.0407766990291262,0.0591966173361522,42.0,347.0,988.0
007_NAB_id_7_Traffic_tr_624_1st_2087.csv,NAB,tuning,spot,q0.001_d50,0,500,2499,5,248,0.0,0.2401024304096032,0.5528499843407454,0.2431143608430154,0.2359396115385459,0.5572489194371554,1.0,0.0443548387096774,0.0849420849420849,11.0,0.0,237.0
