seed,warmup,outlier_type,rmse,msll,f1,precision,recall,part,warmup_contam
5,80,asymmetric,0.1161913029336874,-1.9993118196915287,1.0,1.0,1.0,length,0.0
6,80,asymmetric,0.10877192085962244,-2.2133772801742038,1.0,1.0,1.0,length,0.0
7,80,asymmetric,0.10896268756703338,-2.150870670105777,1.0,1.0,1.0,length,0.0
8,80,asymmetric,0.10471333370143496,-1.940592424637914,0.99009900990099,0.9803921568627451,1.0,length,0.0
9,80,asymmetric,0.10309087532370387,-2.009523673190675,0.9975062344139651,0.9950248756218906,1.0,length,0.0
0,80,focused,0.11330111069528734,-1.97385626827334,1.0,1.0,1.0,length,0.0
1,80,focused,0.09893818607016713,-1.8090034939040718,0.9975062344139651,0.9950248756218906,1.0,length,0.0
2,80,focused,0.10996870105871788,-1.947249515660088,1.0,1.0,1.0,length,0.0
3,80,focused,0.1308579972750151,-1.4258593728885574,1.0,1.0,1.0,length,0.0
4,80,focused,0.11589294484078685,-2.049018214028668,1.0,1.0,1.0,length,0.0
5,80,focused,0.09218440785026877,-2.095335877058631,0.9975062344139651,0.9950248756218906,1.0,length,0.0
6,80,focused,0.07879359589204064,-2.41474559733796,1.0,1.0,1.0,length,0.0
7,80,focused,0.10646384798396957,-2.0681828972582816,1.0,1.0,1.0,length,0.0
8,80,focused,0.08735861417653774,-2.190827997193678,0.9950248756218906,0.9900990099009901,1.0,length,0.0
